doc_id,text,p_green,u,llm_green_suggested,llm_confidence,llm_rationale,human_label_is_green,human_notes
9643989,1. A method of preparing a MX 2 L q complex comprising: reacting a ruthenium (IV) hexahalo complex that comprises a [RuX wherein M is ruthenium; wherein X wherein X is a halogen atom selected from the group consisting of Cl and Br; wherein y is an integer value from 1 to 6; and wherein q is 3.,0.4998766724841906,0.9997533449683812,1,,Model response: Yes,0,
8858955,"1. A method of making an immunogenic composition comprising a conjugation step of conjugating a saccharide to a protein carrier to make a saccharide-protein conjugate using carbodiimide condensation chemistry, wherein the saccharide comprises, or has been derivatised to comprise, amino and/or carboxyl groups, and wherein the protein carrier comprises, or has been derivatised to comprise, amino and/or carboxyl groups, comprising the steps of: I) if the protein carrier comprises both amino and carboxyl groups and the saccharide comprises either amino or carboxyl groups: a) mixing the saccharide and aliquot of carbodiimide required to perform the conjugation, and b) adding aliquot of the protein carrier required over a time period of 35 seconds to 6 hours to form a saccharide-protein conjugate; II) if the saccharide comprises both amino and carboxyl groups and the protein carrier comprises either amino or carboxyl groups: a) mixing the protein carrier and aliquot of carbodiimide required to perform the conjugation, and b) adding aliquot of saccharide required over a time period of 10 minutes to 4 hours to form a saccharide-protein conjugate; and III) if the saccharide comprises both amino and carboxyl groups and the protein carrier comprises both amino and carboxyl groups: a) mixing the protein carrier and the saccharide, and b) adding aliquot of carbodiimide required to perform the conjugation over a time period of 35 seconds to 6 hours to form a saccharide-protein conjugate; and a further step of mixing the saccharide-protein conjugate of I), II), or III) with a staphylococcal antigen.",0.4997593737555614,0.9995187475111228,1,,Model response: Yes,0,
9068052,"1. A polymerizable composition comprising a cycloolefin monomer mixture, a metathesis polymerization catalyst, and a crosslinking agent, the cycloolefin monomer mixture including a compound represented by a formula (I) and an additional cycloolefin compound, the polymerizable composition producing a crosslinkable resin having a modulus of elasticity at 100° C. and a modulus of elasticity at 140° C. of 1.0×10 wherein R 1 , R 2 , and R 3 are independently a hydrogen atom or a hydrocarbon group having 1 to 20 carbon atoms, R 4 is a hydrogen atom or a methyl group, A is a single bond or a divalent organic group having 1 to 20 carbon atoms, and p is 0, 1, or 2.",0.4997500160731964,0.9995000321463928,0,,Model response: No,0,
9410361,"1. A fire resistant composite product comprising: a composite comprising gypsum in an amount sufficient to provide fire resistance wherein the amount is 60 to 90% by weight, fibers in an amount of 1.5 to 26% by weight substantially homogeneously distributed through the composite, and a rheology-modifying agent in an amount of 0.5 to 6% by weight; wherein the fibers comprise glass fibers, cellulose fibers, polyvinyl alcohol fibers and polypropylene fibers; wherein the rheology-modifying agent comprises hydroxypropoyl methyl celluose (HPMC), methyl hydroxyethyl cellulose (MHEC), hydroxyethyl cellulose (HEC) or carboxymethyl cellulose (CMC); the composite is caused or allowed to cure to form a cured composite; and the cured composite is a fire resistant component used in a fire-rated door core, a fire-rated door or a fire-rated building panel, wherein the fire resistant component is selected from a building panel, a door panel, a door core, a door rail, a door stile, a door lock block, a door border, and a door insert.",0.4997442741924823,0.9994885483849648,0,,Model response: No,0,
9406738,"1. An inductor for an integrated circuit, the inductor comprising: a first turn comprising a first through silicon via (TSV) coupled to a second TSV; and a third TSV coupled to the second TSV, wherein: the first TSV comprises a first end and a second end; the second TSV comprises a first end and a second end; the second end of the first TSV is coupled to the second end of the second TSV using a first conductive material; the third TSV comprises a first end and a second end; the first end of the third TSV is coupled to the first end of the second TSV using a second conductive material; the first, second, and third TSVs are located within a first die; and at least one of the first conductive material or the second conductive material is formed within a different die of the integrated circuit coupled to the first die; wherein the inductor is solenoidal.",0.500362644066401,0.999274711867198,1,,Model response: Yes,0,
9179580,"1. A cooling apparatus, comprising: an outlet that supplies a chilled liquid to a data center; an inlet that receives return chilled liquid from the data center; a heat exchanger arranged downstream of the inlet that provides first cooling to the return chilled liquid; a chiller unit with an evaporator and a condenser, the evaporator arranged downstream of the heat exchanger with respect to the chilled liquid flow, the chiller unit configured to further cool the return chilled liquid to a predetermined temperature; a pressure difference sensor that measures a pressure difference between the chilled liquid supplied at the outlet and the return chilled liquid received at the inlet; a pump coupled between the heat exchanger and the evaporator that is configured to maintain a predetermined pressure difference between the chilled liquid supplied at the outlet and the return chilled liquid received at the inlet; a bypass line that connects the outlet of the evaporator to the inlet of the pump; control logic that is configured to control the chiller unit such that the return chilled liquid exiting the chiller unit is maintained at the predetermined temperature; and a liquid cooling loop that circulates a coolant; said cooling loop connecting the heat exchanger, the condenser, and a dry cooling tower in series; said cooling loop further comprising a bypass line arranged in parallel to the condenser.",0.5004060410067878,0.9991879179864244,1,,Model response: Yes,0,
9346766,"1. A method for the synthesis of N-protected 3,6-bis[4-aminoalkyl]-2,5-diketopiperazine comprising heating a solution comprising N-benzyloxycarbonyl-lysine and phosphorus pentoxide.",0.5004845454484026,0.9990309091031948,1,,Model response: Yes,0,
9730566,"1. A floor treatment apparatus, comprising: a chassis comprising a front, a back, a lower surface, a front surface adjacent the front, an upper surface, a rear surface located substantially behind a center point of the chassis, a left surface, and a right surface; a platform located partially between a portion of the right surface and the left surface and at least partially behind the rear surface, wherein the platform includes a top surface adapted to receive the feet of an operator; a throttle and an operator presence device associated with a portion of the top surface; one or more batteries electrically connected to an electric monowheel drive; a steering mechanism associated with the chassis and having a portion accessible to an operator; and a floor treating device connected adjacent to the lower surface of the chassis, the floor treating device configured to scrub floors, clean carpets, vacuum floors, wax floors, burnish floors, remove wax from a floor, or remove varnish from a floor.",0.5005106690098549,0.9989786619802904,1,,Model response: Yes,0,
9062548,"1. A rotary displacement system comprising: a chamber housing having a pressure-modifying chamber with a first port and a second port; a first passageway in fluid communication with the pressure-modifying chamber via the first port; a second passageway in fluid communication with the pressure-modifying chamber via the second port; a shaft positioned within the chamber housing and rotatable relative to the chamber housing about a rotational axis; a rotor positioned within the pressure-modifying chamber, wherein the rotor is alternately operable in a first mode in which a first volume of working fluid flow is provided from the second passageway to the first passageway via the pressure-modifying chamber and in a second mode in which a second volume of working fluid flow is provided from the first passageway to the second passageway via the pressure-modifying chamber; a heat exchanger positioned external to the pressure-modifying chamber and within at least one of the first passageway or the second passageway; and a pressure vessel having an inner surface and an outer surface, wherein the pressure vessel at least partially surrounds the chamber housing, the first passageway, the second passageway, and the heat exchanger, and further wherein the inner surface of the pressure vessel is positioned to contact at least one of the first volume of working fluid or the second volume of working fluid flowing through the rotary displacement system.",0.4994265327169382,0.9988530654338764,0,,Model response: No,0,
8625297,"1. A package structure comprising a substrate, a plurality of electronic components configured and structured on the substrate, a plurality of metal resilient units electrically connected to the substrate, and an encapsulation body encapsulating the plurality of electronic components and the plurality of resilient units together with the substrate; wherein each of the plurality of metal resilient units comprises a metal resilient element, and a first metal sheet and a second metal sheet respectively located at two ends of the metal resilient element, the first metal sheet is electrically connected to the substrate, and the second metal sheet is exposed out of an exterior surface of the encapsulation body; and wherein the resilient capability of the metal resilient element prevents epoxy resin from covering the second metal sheet to keep the second metal sheet in a stationary position of being exposed out of the exterior surface of the encapsulation body.",0.4992459052420741,0.9984918104841484,1,,Model response: Yes,0,
