human_label_is_green,human_notes
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,"funnily when searched on espacenet, a korean patent comes up that is green."
0,
0,"it’s green rated, I would never had guessed."
0,"apprently green, what"
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,after research it’s “wirelessly” charing car batteries
0,
0,but is y02??
0,but is y02??
1,"regarding concerete, all new developments are probably green"
0,
0,
1,"I would never have guessed my self, but after reading more i can see maybe why it got the y02. Problem with my hitl approach i gain bias"
1,"This is right on the edge. Generally, controlling LED’s is for efficiencies sake, but in this case, it’s for safety"
0,
0,"turns out its a brace for “things like solar panels” which therefore goes under green tech, or at least it has the y02 tag"
1,"reading the abstract mentions batteries and such. Besides, carbon nanotubes should tip off that it could be green."
0,"has the tag y02, would have never guesssed"
0,
0,
0,
0,"apparently anti malaria vaccine. Is y02, and could be argued as such. Depending on what the objective is, one could chose."
0,Aids is not caused by climate change (as malaria can be argued to be)
0,wtf
0,
0,
1,optimizing data centers will be green
0,too little info
0,
0,
0,
1,"optimizing data transfers, seems green"
0,GREEN BUT IS AN ATTACK DRONE ON WATER?
0,but is y02??
0,
1,wireless charging 
0,
1,low consumption = green
1,"light control, possibly led control"
1,"hydrogen fuel? Come on, that’s green!"
0,
0,
0,but is y02??
1,when reading the abstract it focuses on power consumption reduction
0,
0,
0,
0,
0,the french patent is nuclear fuel related
0,
0,
0,
0,but is y02 due to power reduction
0,
1,might relate to electric vehicles
0,
1,recycling steel
0,
0,but is y02
0,
0,
0,
0,
0,nothing is green when it comes to printers..
0,
0,sounds like scifi
0,
0,
0,
1,bio oil microbes?
0,
0,
0,but is y02
